scenario,arrival_rate,active_users,request_rate_per_user,burst_factor,proxy_capacity,blocking_probability_mean,blocking_probability_ci95_low,blocking_probability_ci95_high,utilization_mean,utilization_ci95_low,utilization_ci95_high,mean_rejected,mean_accepted,mean_arrivals
residencial_baja_carga,5.0,5000,0.001,1.0,10,0.018392068981793637,0.017185958142201772,0.0195981798213855,0.4893741642311435,0.4859607881129012,0.49278754034938577,91.7,4890.6,4982.3
mixta_residencial_comercial,7.199999999999998,5000,0.0012,1.2,10,0.08679964946810902,0.08456003091807851,0.08903926801813952,0.656523043874521,0.6534762914307252,0.6595697963183168,624.4666666666667,6565.2,7189.666666666667
campus_universitario,8.775,5000,0.0013,1.35,10,0.15838772800977333,0.15628506118258875,0.1604903948369579,0.7392161883354407,0.7371044123636112,0.7413279643072701,1390.5666666666666,7387.133333333333,8777.7
corredor_metro_comercial,11.25,5000,0.0015,1.5,10,0.269806890603341,0.2669595657064999,0.2726542155001821,0.8201539267308752,0.818762953009024,0.8215449004527263,3036.0666666666666,8215.2,11251.266666666666
evento_peak,15.3,5000,0.0017,1.8,10,0.42046451401637186,0.41800726364808605,0.4229217643846577,0.8868807527437664,0.8859403284118265,0.8878211770757064,6439.566666666667,8875.066666666668,15314.633333333333
