capacity,arrival_rate,service_rate,blocking_probability_mean,blocking_probability_ci95_low,blocking_probability_ci95_high,utilization_mean,utilization_ci95_low,utilization_ci95_high,mean_rejected,mean_accepted,mean_arrivals
6,11.25,1.0,0.5282747618493012,0.5261939299652664,0.5303555937333361,0.8771946831606654,0.8759364967204125,0.8784528696009183,5937.233333333334,5301.133333333333,11238.366666666667
8,11.25,1.0,0.3902362252023028,0.387975348339127,0.39249710206547855,0.8516750112234834,0.8506246484379667,0.8527253740090002,4383.8,6849.466666666666,11233.266666666666
10,11.25,1.0,0.26832322329119734,0.2659661331678632,0.27068031341453147,0.8187053608357552,0.8172545210073145,0.8201562006641958,3012.0,8212.133333333333,11224.133333333333
12,11.25,1.0,0.16795622527508183,0.16538671508095948,0.1705257354692042,0.7780534779770468,0.7756950357168737,0.78041192023722,1888.7333333333333,9353.7,11242.433333333332
14,11.25,1.0,0.09262024443612533,0.09080841740559722,0.09443207146665344,0.7286828031455053,0.7266889138321692,0.7306766924588414,1042.3333333333333,10207.4,11249.733333333334
16,11.25,1.0,0.04368467962863893,0.04240986149841317,0.04495949775886469,0.6714924284834599,0.6692966517398077,0.6736882052271121,492.0,10762.433333333332,11254.433333333332
20,11.25,1.0,0.0057734276048112525,0.005281084989262908,0.006265770220359597,0.5581759591589073,0.5556435971306025,0.560708321187212,65.03333333333333,11191.7,11256.733333333334
24,11.25,1.0,0.0002573962036820297,0.00016494753476245882,0.00034984487260160055,0.46696360650444385,0.4644322197513751,0.4694949932575126,2.9,11236.7,11239.6
30,11.25,1.0,0.0,0.0,0.0,0.37510535239508136,0.37326074329001646,0.37694996150014626,0.0,11257.166666666666,11257.166666666666
