Barrido de carga contra Erlang B
================================

simulation_time = 1000
replicas = 30
service_rate = 1.0
capacity = 10
arrival_rates = [2, 4, 6, 8, 10, 12, 14, 16]

 arrival_rate  service_rate  capacity  blocking_probability_mean  blocking_probability_ci95_low  blocking_probability_ci95_high  erlang_b_theoretical  relative_error  mean_rejected  mean_accepted  mean_arrivals
            2           1.0        10                   0.000049                      -0.000005                        0.000103              0.000038        0.290751       0.100000    1996.166667    1996.266667
            4           1.0        10                   0.005455                       0.004715                        0.006195              0.005308        0.027781      21.800000    3966.500000    3988.300000
            6           1.0        10                   0.043051                       0.041383                        0.044719              0.043142        0.002100     258.033333    5732.400000    5990.433333
            8           1.0        10                   0.120605                       0.117735                        0.123475              0.121661        0.008681     963.566667    7022.666667    7986.233333
           10           1.0        10                   0.216202                       0.213996                        0.218407              0.214582        0.007547    2164.000000    7843.266667   10007.266667
           12           1.0        10                   0.303512                       0.301233                        0.305792              0.301925        0.005257    3647.233333    8367.700000   12014.933333
           14           1.0        10                   0.376423                       0.373603                        0.379242              0.377285        0.002285    5273.300000    8733.933333   14007.233333
           16           1.0        10                   0.438609                       0.436296                        0.440922              0.440561        0.004431    7010.633333    8972.266667   15982.900000
