arrival_rate,service_rate,capacity,blocking_probability_mean,blocking_probability_ci95_low,blocking_probability_ci95_high,erlang_b_theoretical,relative_error,mean_rejected,mean_accepted,mean_arrivals
2,1.0,10,4.9294013059454044e-05,-4.529891934357803e-06,0.00010311791805326589,3.8190167941263515e-05,0.29075140845853953,0.1,1996.1666666666667,1996.2666666666667
4,1.0,10,0.005454998667458177,0.0047147671549883875,0.006195230179927967,0.005307548873895178,0.027781146639689194,21.8,3966.5,3988.3
6,1.0,10,0.04305122059544228,0.04138307838155955,0.04471936280932501,0.04314183841043926,0.0021004625286217176,258.03333333333336,5732.4,5990.433333333333
8,1.0,10,0.12060498218644258,0.11773511590867791,0.12347484846420725,0.1216610642529515,0.008680526288288675,963.5666666666667,7022.666666666667,7986.233333333334
10,1.0,10,0.21620170490254773,0.21399615135644337,0.21840725844865208,0.21458234310734736,0.007546575229585683,2164.0,7843.266666666666,10007.266666666666
12,1.0,10,0.3035121453393534,0.3012325624704817,0.3057917282082251,0.3019250402863794,0.0052566194955827586,3647.233333333333,8367.7,12014.933333333332
14,1.0,10,0.37642276643207206,0.3736034983180695,0.37924203454607464,0.3772847543113978,0.0022847143158461073,5273.3,8733.933333333332,14007.233333333334
16,1.0,10,0.43860908833034945,0.43629577514733286,0.44092240151336604,0.4405614357419004,0.00443149865866765,7010.633333333333,8972.266666666666,15982.9
